Date,Album,Type,Genre,Spotify,Bandcamp
25.01,The Ethereal - Miserere,[Studio],Funeral doom metal,https://open.spotify.com/album/6jXG8oE4zb577JR4qbryoG,https://infrasubultra.bandcamp.com/album/miserere
25.01,Iron Griffin - Gate Tower,[EP],"Doom metal, Heavy metal",https://open.spotify.com/album/7x6etI9jQ2ePxZUOQaPrbi,https://irongriffin.bandcamp.com/album/gate-tower
25.01,Thlipsis - Servants Of Apathy,[EP],Black metal,https://open.spotify.com/album/5tTY6cF2EOIPNma4tmRMDX,https://thlipsis.bandcamp.com/album/servants-of-apathy-2
24.01,Balmog - Mud To Gold,[EP],Black metal,https://open.spotify.com/album/2OyS1TdYHxpn32r3K2sYGn,https://balmog.bandcamp.com/album/mud-to-gold-ep
24.01,Necrotesque - Love And Pieces,[EP],Death metal,https://open.spotify.com/album/5MqsvODORz4Hb8mCskAiai,Error: No search results found.
24.01,Oni - Genesis,[EP],"Djent, Progressive death metal",https://open.spotify.com/album/18kxGirYEiVf2f60FOaqiq,https://koroboni.bandcamp.com/album/the-genesis
24.01,Nuclear Remains - Heinous Acts Of Iniquity,[EP],Brutal death metal,https://open.spotify.com/album/0kkU8OfUP8n45jc6N6Phql,Error: No search results found.
24.01,Master Spy - Maze Runner,[Studio],"Heavy metal, Power metal",https://open.spotify.com/album/6NkuCdMz5tGmHbOXAWbtCW,https://masterspy.bandcamp.com/album/maze-runner
24.01,Sunrot - Passages,[EP],Sludge metal,https://open.spotify.com/album/5peARHyQfrCC4wkD6MejWI,https://sunrot.bandcamp.com/album/passages
24.01,Aeonist - Deus Vult,[EP],"Ambient, Atmospheric black metal",https://open.spotify.com/album/16GQ1Ntf4NvbCygqMqeOTY,https://sijmusicart.bandcamp.com/album/deus-vult-2
24.01,Acolytes Of Moros - Sphere Of Adversity,[Studio],Blackened doom metal,https://open.spotify.com/album/230v9G7h2iSAN8gibtd8eU,https://acolytesofmoros.bandcamp.com/album/sphere-of-adversity
24.01,End Of Green - Twinfinity,[Studio],"Doom metal, Gothic metal",https://open.spotify.com/album/1jGQA8yuEgotxiFWI0Y0vI,Error: No search results found.
24.01,Sutekh Hexen - Primeval,[Studio],Black metal,https://open.spotify.com/album/6YIOMXS7nhNZksP9G6xG9H,https://sutekhhexen.bandcamp.com/album/primeval
24.01,Riverside - Live ID.,[Live],Progressive metal,https://open.spotify.com/album/42vf8uOyBQKkiizxC1RCDL,https://insideoutmusic.bandcamp.com/album/live-id-24-bit-hd-audio
24.01,The Machinist - Contempt For Life,[Studio],Deathcore,https://open.spotify.com/album/04TTqRL3NWBBLnoHdnSPqW,https://themachinistuk.bandcamp.com/album/contempt-for-life
24.01,Atramentum - The Wrath Within,[Studio],Blackened doom metal,https://open.spotify.com/album/0kk0KEJe0KiR6yRVGN2L56,https://atramentum1.bandcamp.com/album/the-wrath-within
24.01,Sabhankra - Nocturnal Elegies,[Studio],"Melodic black metal, Melodic death metal",https://open.spotify.com/album/0ktPDyL8MmnyTYznvEhLod,https://sabhankra.bandcamp.com/album/nocturnal-elegies
24.01,Umbersound - If The Flies Could Sing,[Studio],Death doom metal,https://open.spotify.com/album/5fioEAxDZf7RRNyolLeG5c,https://umbersound.bandcamp.com/album/if-the-flies-could-sing
24.01,Scitalis - Maledictum,[Studio],Black metal,https://open.spotify.com/album/0pHsqXgopdkfEKJSBg4hZf,https://scitalis.bandcamp.com/album/maledictum
24.01,Irae - Promiscuous Fire,[EP],Black metal,https://open.spotify.com/album/4OaeNQtNPG49ixmqnZHmRr,https://irae666.bandcamp.com/album/promiscuous-fire
24.01,À Terre - Embrasser La Nuit,[Studio],Post-metal,https://open.spotify.com/album/4CEb42ONr9y3VEkpvU87yd,https://aterre.bandcamp.com/album/embrasser-la-nuit
24.01,Bumblefoot - Bumblefoot... Returns!,[Studio],Progressive hard rock,https://open.spotify.com/album/51D4j5A6bClqy2PsKTE6q2,https://bumblefoot.bandcamp.com/album/returns
24.01,Century - Sign Of The Storm,[Studio],Heavy metal,https://open.spotify.com/album/2PpjDBNfgL08y2EKlnNc9P,https://centuryswe.bandcamp.com/album/sign-of-the-storm
24.01,The Ferrymen - Iron Will,[Studio],Heavy metal,https://open.spotify.com/album/4RUgYd1JyjJb2PTe84lDZH,Error: No search results found.
24.01,Sacrifice - Volume Six,[Studio],Thrash metal,https://open.spotify.com/album/02Y2CXU7BYqi2xDWcnrpx0,Error: No search results found.
24.01,Ice War - Feel The Steel,[Studio],"Heavy metal, Speed metal",https://open.spotify.com/album/1o4p3UMb7iTfJeM0oY00yZ,https://icewar.bandcamp.com/album/feel-the-steel
24.01,Tormentor Tyrant - Excessive Escalation Of Cruelty,[Studio],Death metal,https://open.spotify.com/album/5n50QtB5UOic18xt6aLsEn,https://everlastingspew.bandcamp.com/album/excessive-escalation-of-cruelty
24.01,Bonfire - Higher Ground,[Studio],"Hard rock, Heavy metal",https://open.spotify.com/album/1VWjKU9656yLo3YwtnSVPb,Error: No search results found.
24.01,Labyrinth - In The Vanishing Echoes Of Goodbye,[Studio],Progressive power metal,https://open.spotify.com/album/6jdczsp7kBGe5NbK7DJfql,Error: No search results found.
24.01,Thin Lizzy - Acoustic Sessions,[Studio],Heavy metal,https://open.spotify.com/album/6Cf545T4jkaiyvMnTRPOB2,Error: No search results found.
24.01,Mogwai - The Bad Fire,[Studio],Post-rock,https://open.spotify.com/album/474vVLzrq9sxOGpQMPHIPq,https://mogwai.bandcamp.com/album/the-bad-fire
24.01,The Great Old Ones - Kadath,[Studio],"Ambient, Atmospheric black metal",https://open.spotify.com/album/2Ek9iZN9Tec0cJSNsdQEdf,https://thegreatoldonessom.bandcamp.com/album/kadath
24.01,Fleshbore - Painted Paradise,[Studio],Technical death metal,https://open.spotify.com/album/1pHgiWP97njcBjxpoQeEpg,https://fleshboreband.bandcamp.com/album/painted-paradise
24.01,Harakiri For The Sky - Scorched Earth,[Studio],"Black metal, Post-metal",https://open.spotify.com/album/3bPrk5eZSMIHL5uIS2ESe6,https://artofpropaganda.bandcamp.com/album/scorched-earth
24.01,Wardruna - Birna,[Studio],"Ambient, Neofolk",https://open.spotify.com/album/5clP0vXvX350quRCTw248H,Error: No search results found.
24.01,"Avatarium - Between You, God, The Devil And The Dead",[Studio],Doom metal,https://open.spotify.com/album/1kEbyLdhIhVVcTi9DmuUjn,Error: No search results found.
23.01,Disrupted (SWE) - Stinking Death,[Studio],Death metal,https://open.spotify.com/album/6wAJLb0ubS6Y3jk91woAd6,Error: No search results found.
22.01,Chaos Control - Lost In Time,[EP],Power metal,https://open.spotify.com/album/02bDO0RIe1wglzvYJCTCQK,https://chaoscontrol-jp.bandcamp.com/album/lost-in-time
22.01,Korrosive - Kaustic In The Capital,[Live],Thrash metal,https://open.spotify.com/album/2GUirHCExX549jcIgaYWKO,https://cdnrecords.bandcamp.com/album/kaustic-in-the-capital-live
21.01,Kryatjurr Of Desert Ahd - Rotting Crowns Of Failed Emperors Burn Atop Mountains Of Smoke And Greed,[EP],"Ambient, Atmospheric black metal",https://open.spotify.com/album/4lh0rl7eI2w9Rik8JECk9l,https://kryatjurr.bandcamp.com/album/rotting-crowns-of-failed-emperors-burn-atop-mountains-of-smoke-and-greed
21.01,Membaris - Black Plasma Armor,[Studio],Black metal,https://open.spotify.com/album/1jeycRIxUrfUgKxTzDRrKR,Error: No search results found.
21.01,Retador - Earëndel,[Studio],Thrash metal,https://open.spotify.com/album/6GjBzuLBqRFPR7mtniwZR1,https://xtreemmusic.bandcamp.com/album/ear-ndel
20.01,Insanity Black - Locked & Loaded,[Studio],"Heavy metal, Thrash metal",https://open.spotify.com/album/3dl6OChlNWeUHpii4DKQZw,https://insanityblack.bandcamp.com/album/locked-loaded
20.01,Putred - Megalit Al Putrefacției,[Studio],Death metal,https://open.spotify.com/album/44LU2mky1CBVrWuO2ODsXY,https://putred.bandcamp.com/album/megalit-al-putrefac-iei
17.01,Dark Fortress - Anthems From Beyond The Grave - Live In Europe 2023,[Live],,https://open.spotify.com/album/2Zg5ciY2jyjVKrayvba502,https://centurymedia.bandcamp.com/album/anthems-from-beyond-the-grave-live-in-europe-2023-24-bit-hd-audio
17.01,Gorgatron - Live From The Basement,[Live],Death metal,https://open.spotify.com/album/3N7qXMJIYhLphVNFkSMgZx,https://gorgatron.bandcamp.com/album/live-from-the-basement
17.01,Winter In Eden - Therapy,[EP],Symphonic gothic metal,https://open.spotify.com/album/6HpoJDIJ3QH6G0tX2tMkXs,Error: No search results found.
17.01,Helleruin - Reapers Of The Whirl,[EP],Black metal,https://open.spotify.com/album/6uqx0rxqV3Pt4C6ddYx5HC,Error: No search results found.
17.01,Mundilfari - Into The Dark Box,[Studio],"Progressive metal, Symphonic metal",https://open.spotify.com/album/23xEwPDOt9NFAjHjnFYSEq,https://mundilfariofficiel.bandcamp.com/album/into-the-dark-box
17.01,Hierarchies - Hierarchies,[Studio],Technical death metal,https://open.spotify.com/album/6VFTvpLVvfzUTMtNBloDEv,https://hierarchiesdm.bandcamp.com/album/hierarchies
17.01,The Black Disorder - Sepulchral Black Metal,[Studio],Black metal,https://open.spotify.com/album/061g5em5JYQxTVfSzHT6dU,https://theblackdisorder.bandcamp.com/album/sepulchral-black-metal
17.01,Eidola - Mend,[Studio],"Djent, Math rock, Post-hardcore",https://open.spotify.com/album/3HcKNLwUqCrMcX0fqqkp7W,Error: No search results found.
17.01,Behexen - Beyond The Four Gates,[Compilation],Black metal,https://open.spotify.com/album/4XBBUhVCvS3l7EOALyx8l9,Error: No search results found.
17.01,Teramaze - Desire Colours N Lust,[EP],Progressive metal,https://open.spotify.com/album/2r3rxkKkZUGM05nnBc0LTU,Error: No search results found.
17.01,Shedfromthebody - Whisper And Wane,[Studio],"Shoegaze, Doom metal",https://open.spotify.com/album/5VZyXBOIRs0w7Rh0pWmecI,https://shedfromthebody.bandcamp.com/album/whisper-and-wane
17.01,Häxkapell - Om Jordens Blod Och Urgravens Grepp,[Studio],Blackened folk metal,https://open.spotify.com/album/7K2bYq2TnmPHkSItqElkua,https://haxkapell.bandcamp.com/album/om-jordens-blod-och-urgravens-grepp
17.01,Mourir - Insolence,[EP],Black metal,https://open.spotify.com/album/3oJRjP5oUXoTG7FJiXQWZe,https://movrir.bandcamp.com/album/insolence
17.01,Dragonknight - Legions,[Studio],Power metal,https://open.spotify.com/album/01gecUvVkhRxUXQlEDG0Nf,https://scarletrecords.bandcamp.com/album/legions
17.01,Aevum (ITA) - Kaleidoscope,[Studio],Symphonic metal,https://open.spotify.com/album/0CE9VXSH70pz4BQzMPm9gO,Error: No search results found.
17.01,The Big Deal - Electrified,[Studio],Hard rock,https://open.spotify.com/album/6mRS3nWIVlnMTAtzjvRfX1,Error: No search results found.
17.01,Drown In Sulphur - Vengeance,[Studio],Deathcore,https://open.spotify.com/album/7tUdnkVcPkWeUCGeNb1eA9,https://drowninsulphurofficial.bandcamp.com/album/vengeance
